rank,freq
1,14535
2,6624
3,6447
4,4747
5,4627
6,4184
7,3085
8,2532
9,2522
10,2127
11,1897
12,1818
13,1813
14,1742
15,1725
16,1723
17,1645
18,1618
19,1527
20,1396
21,1320
22,1239
23,1205
24,1152
25,1090
26,1069
27,1065
28,1062
29,1045
30,923
31,894
32,869
33,786
34,779
35,769
36,715
37,683
38,667
39,648
40,647
41,633
42,631
43,620
44,618
45,618
46,606
47,599
48,596
49,589
50,586
51,566
52,538
53,530
54,523
55,523
56,519
57,517
58,508
59,481
60,474
61,473
62,460
63,455
64,450
65,432
66,417
67,415
68,410
69,403
70,392
71,384
72,379
73,376
74,376
75,370
76,363
77,348
78,345
79,337
80,334
81,333
82,332
83,329
84,327
85,324
86,322
87,312
88,310
89,309
90,308
91,307
92,307
93,306
94,305
95,299
96,298
97,292
98,291
99,283
100,283
101,282
102,281
103,277
104,272
105,272
106,271
107,271
108,270
109,263
110,261
111,258
112,255
113,253
114,249
115,249
116,247
117,245
118,245
119,245
120,244
121,244
122,240
123,239
124,237
125,233
126,233
127,232
128,230
129,225
130,223
131,220
132,220
133,216
134,216
135,215
136,214
137,208
138,207
139,206
140,206
141,205
142,205
143,205
144,199
145,199
146,195
147,194
148,191
149,190
150,188
151,185
152,183
153,183
154,183
155,179
156,179
157,178
158,178
159,176
160,175
161,175
162,171
163,167
164,166
165,165
166,165
167,164
168,160
169,158
170,157
171,156
172,156
173,156
174,156
175,155
176,153
177,153
178,152
179,152
180,152
181,150
182,149
183,149
184,147
185,143
186,141
187,140
188,137
189,137
190,136
191,135
192,134
193,133
194,133
195,132
196,131
197,130
198,130
199,130
200,130
201,128
202,128
203,127
204,124
205,123
206,123
207,123
208,122
209,120
210,120
211,120
212,119
213,117
214,116
215,116
216,116
217,115
218,115
219,115
220,115
221,115
222,114
223,113
224,112
225,112
226,110
227,110
228,110
229,109
230,108
231,107
232,105
233,105
234,103
235,102
236,102
237,101
238,99
239,98
240,98
241,97
242,97
243,97
244,96
245,96
246,96
247,95
248,95
249,95
250,94
251,93
252,92
253,92
254,91
255,91
256,91
257,91
258,91
259,90
260,90
261,90
262,90
263,90
264,89
265,89
266,89
267,88
268,88
269,88
270,88
271,87
272,87
273,87
274,87
275,87
276,87
277,87
278,86
279,86
280,85
281,85
282,85
283,84
284,84
285,84
286,83
287,82
288,82
289,82
290,81
291,81
292,81
293,81
294,80
295,80
296,80
297,80
298,80
299,79
300,79
301,79
302,79
303,79
304,78
305,78
306,77
307,77
308,76
309,76
310,76
311,76
312,76
313,76
314,76
315,76
316,76
317,76
318,75
319,74
320,74
321,74
322,74
323,74
324,73
325,73
326,73
327,73
328,73
329,72
330,72
331,72
332,72
333,71
334,70
335,70
336,70
337,70
338,69
339,69
340,69
341,69
342,69
343,69
344,68
345,67
346,67
347,66
348,66
349,66
350,66
351,65
352,65
353,65
354,65
355,64
356,64
357,64
358,64
359,64
360,64
361,64
362,64
363,63
364,63
365,63
366,63
367,62
368,62
369,61
370,61
371,61
372,61
373,61
374,60
375,60
376,60
377,60
378,60
379,59
380,59
381,59
382,58
383,58
384,58
385,58
386,57
387,57
388,57
389,57
390,56
391,56
392,56
393,56
394,56
395,56
396,56
397,56
398,56
399,55
400,55
401,55
402,55
403,55
404,55
405,55
406,55
407,55
408,54
409,54
410,54
411,54
412,54
413,54
414,54
415,54
416,54
417,53
418,53
419,53
420,53
421,53
422,53
423,53
424,52
425,52
426,52
427,52
428,52
429,51
430,51
431,51
432,51
433,51
434,51
435,51
436,51
437,50
438,50
439,50
440,50
441,50
442,50
443,50
444,50
445,50
446,49
447,49
448,49
449,49
450,49
451,49
452,49
453,49
454,49
455,48
456,48
457,48
458,48
459,48
460,48
461,48
462,48
463,47
464,47
465,47
466,47
467,46
468,46
469,46
470,46
471,46
472,46
473,46
474,46
475,46
476,46
477,46
478,46
479,46
480,46
481,46
482,46
483,45
484,45
485,45
486,45
487,45
488,45
489,45
490,44
491,44
492,44
493,44
494,44
495,44
496,44
497,44
498,44
499,44
500,44
501,44
502,43
503,43
504,43
505,43
506,43
507,42
508,42
509,42
510,42
511,42
512,42
513,42
514,42
